Salary,Assets,ExistingLoans,CreditScore,NumAccounts,PropertyOwnership,VoterRegistration,TotalIncome,Creditworthy,Fraud
64556,29358,1,528,3,Rents Property,Registered,70684,1,1
16230,60806,3,614,1,Owns Property,Registered,23642,0,1
102966,43178,0,661,3,Rents Property,Registered,108314,1,1
97258,48741,0,662,3,Rents Property,Not Registered,100934,0,1
32999,52432,2,728,1,Rents Property,Registered,38639,0,1
87282,36936,2,749,2,Owns Property,Registered,92934,0,1
88605,56583,2,601,2,Owns Property,Registered,92894,0,1
22509,28436,0,679,1,Owns Property,Registered,26976,0,1
23859,48920,2,662,2,Rents Property,Not Registered,28763,1,1
90744,54202,2,637,1,Rents Property,Registered,95124,1,1
60384,69255,0,696,2,Rents Property,Registered,65289,0,1
30768,68524,1,599,1,Rents Property,Registered,39369,1,1
81167,49159,0,650,1,Owns Property,Registered,86962,1,1
68844,31823,2,635,3,Owns Property,Not Registered,75283,1,1
177948,39750,2,729,3,Owns Property,Registered,181723,0,1
131011,49389,2,641,3,Rents Property,Registered,139166,1,1
80307,36172,4,621,2,Owns Property,Registered,85616,1,1
133322,68544,0,630,1,Rents Property,Registered,138819,1,1
33700,55097,4,592,3,Owns Property,Registered,40638,0,1
16447,54338,4,621,2,Owns Property,Registered,16817,0,1
13147,62315,3,598,1,Rents Property,Registered,19350,0,1
16754,54882,3,738,2,Rents Property,Registered,21971,0,1
61034,67642,0,632,1,Rents Property,Registered,65720,0,1
43831,60439,3,629,3,Owns Property,Registered,49446,1,1
77496,46286,4,670,3,Rents Property,Registered,80380,0,1
19648,53993,4,654,1,Owns Property,Registered,25613,1,1
84529,43597,2,637,2,Owns Property,Registered,88215,0,1
150147,59366,2,644,2,Owns Property,Registered,155675,1,1
71071,35433,0,739,3,Owns Property,Registered,75910,0,1
84347,43485,3,654,1,Rents Property,Registered,90555,0,1
122653,49888,3,582,1,Owns Property,Registered,127459,0,1
35932,11814,3,660,1,Rents Property,Registered,39751,1,1
67858,29675,0,678,2,Owns Property,Registered,73079,1,1
51509,43510,4,685,3,Owns Property,Registered,57189,0,1
84774,69189,2,665,2,Rents Property,Not Registered,89994,0,1
29663,51900,0,615,1,Rents Property,Registered,33535,0,1
100173,44304,2,643,3,Rents Property,Registered,102706,1,1
46017,55785,3,671,3,Owns Property,Not Registered,54173,1,1
89343,34397,0,687,1,Owns Property,Registered,96668,1,1
136619,59700,1,479,1,Rents Property,Registered,142163,1,1
13258,38537,3,647,1,Owns Property,Registered,17870,0,1
42690,33234,2,687,3,Rents Property,Registered,45147,0,0
99229,27381,1,611,3,Rents Property,Registered,106442,0,0
84165,49224,1,688,2,Owns Property,Registered,88463,1,1
47068,39282,3,654,2,Rents Property,Registered,52954,0,0
53507,72573,0,522,3,Rents Property,Registered,58198,0,0
71508,40536,1,641,1,Rents Property,Registered,79450,0,0
86267,37601,3,655,1,Owns Property,Registered,89480,0,0
138556,49806,3,621,2,Owns Property,Registered,140569,0,0
22494,42296,1,673,2,Rents Property,Registered,28908,0,0
83011,36688,0,613,1,Rents Property,Registered,88301,0,0
20523,59952,1,704,1,Owns Property,Registered,26216,1,0
19603,60446,1,669,1,Rents Property,Registered,27110,0,0
92630,60793,3,671,3,Rents Property,Registered,98096,1,0
21086,60588,1,610,2,Owns Property,Not Registered,25535,0,0
34124,77214,4,703,1,Owns Property,Registered,39068,0,0
33346,30184,1,670,3,Owns Property,Registered,42273,1,0
32259,44004,3,712,2,Owns Property,Not Registered,37916,0,0
18419,42273,1,620,2,Rents Property,Registered,24962,1,0
39146,52303,2,632,3,Rents Property,Registered,42549,0,0
113574,19510,3,676,1,Owns Property,Registered,120267,1,0
99782,53247,2,647,1,Rents Property,Not Registered,103984,0,0
93677,47258,2,632,3,Owns Property,Registered,95195,1,0
17705,60252,0,567,1,Owns Property,Not Registered,23129,0,0
107103,83607,1,680,2,Owns Property,Not Registered,112353,0,0
60021,50599,1,637,1,Owns Property,Registered,65735,0,0
27651,45350,1,635,3,Rents Property,Registered,32120,1,0
94331,49299,2,599,3,Owns Property,Registered,101432,0,0
112542,51056,4,681,1,Owns Property,Registered,118159,0,1
19543,50275,4,633,3,Owns Property,Registered,23879,1,0
76063,49815,4,721,1,Owns Property,Registered,83212,0,0
33690,57549,0,645,2,Owns Property,Registered,39425,0,0
23921,63911,0,679,1,Owns Property,Registered,29214,1,0
61504,48639,2,691,2,Owns Property,Registered,65544,1,0
113561,50720,3,595,1,Owns Property,Registered,122518,1,0
39175,61853,2,679,1,Rents Property,Registered,42193,1,0
33349,62664,3,577,3,Rents Property,Registered,37638,1,0
53468,64551,4,657,1,Owns Property,Registered,57764,0,0
71922,78732,3,627,1,Rents Property,Registered,76553,0,0
79112,86779,3,640,2,Rents Property,Registered,85311,1,0
25367,89414,3,625,1,Owns Property,Not Registered,31225,0,0
75870,49289,1,646,3,Rents Property,Not Registered,81984,0,0
7325,58475,2,660,3,Owns Property,Registered,12148,1,0
22286,48294,0,557,1,Owns Property,Registered,29598,1,0
44308,45389,1,706,1,Owns Property,Not Registered,47759,1,0
58804,63985,4,653,1,Rents Property,Registered,62115,0,0
114199,45217,1,621,1,Rents Property,Registered,116759,0,0
79126,62282,2,660,3,Rents Property,Registered,83246,0,0
34782,44893,0,657,3,Owns Property,Registered,39982,1,0
31204,31499,3,745,3,Owns Property,Registered,35082,0,0
22642,46809,4,668,3,Owns Property,Registered,26639,1,0
122690,61488,4,637,3,Rents Property,Registered,129910,1,0
29917,42928,3,637,3,Owns Property,Not Registered,33541,1,0
61613,55547,0,614,3,Rents Property,Registered,65980,1,0
7011,33621,0,686,3,Rents Property,Registered,12770,1,0
34231,35986,2,727,2,Owns Property,Not Registered,35895,0,1
70512,66825,4,689,1,Owns Property,Registered,73115,1,0
84996,40855,2,655,3,Owns Property,Registered,91515,0,0
150232,64848,3,651,3,Owns Property,Registered,151539,0,0
24472,44964,4,700,3,Rents Property,Not Registered,26517,0,0
58036,47299,3,677,3,Owns Property,Registered,59716,0,0
15339,63881,3,654,2,Owns Property,Registered,19636,1,0
48290,86555,1,603,3,Owns Property,Registered,50735,0,0
83620,43907,4,660,2,Rents Property,Registered,86923,0,0
16753,80942,0,671,3,Owns Property,Registered,24065,0,0
86961,47296,1,595,2,Owns Property,Registered,91550,0,0
68887,47992,1,522,3,Owns Property,Registered,74326,1,0
88197,98328,1,620,2,Rents Property,Registered,93907,0,0
-830,49018,2,642,3,Rents Property,Registered,6294,1,0
38496,49858,4,707,3,Rents Property,Registered,42530,0,0
38894,61443,2,629,1,Rents Property,Registered,43735,1,0
119083,52801,0,705,3,Owns Property,Registered,123621,0,0
46520,58957,0,632,3,Owns Property,Registered,49508,1,0
67661,45731,4,558,3,Owns Property,Not Registered,72341,0,0
9411,48601,4,570,2,Owns Property,Registered,15019,0,0
33212,52844,1,671,3,Owns Property,Registered,39943,1,0
85221,41812,4,667,1,Rents Property,Not Registered,88460,0,0
64448,76381,4,656,3,Rents Property,Registered,71621,0,0
54575,49470,1,633,1,Rents Property,Registered,58784,1,0
92630,60437,0,638,2,Rents Property,Registered,100090,1,0
18615,66300,4,741,2,Owns Property,Registered,23558,0,0
122081,57773,2,646,3,Rents Property,Registered,127634,0,0
44277,32452,0,603,3,Owns Property,Registered,48511,0,0
86379,65621,0,710,3,Owns Property,Registered,94505,0,0
79987,55257,3,678,1,Rents Property,Registered,83200,0,0
98909,53679,2,680,3,Owns Property,Not Registered,105967,1,0
129696,36265,4,674,1,Owns Property,Registered,132478,0,0
22160,59174,2,688,3,Owns Property,Registered,25808,1,0
114460,33504,1,582,1,Owns Property,Registered,122849,0,0
114406,29336,4,600,3,Rents Property,Registered,120671,1,0
40885,51219,0,592,1,Rents Property,Not Registered,46424,0,0
96463,55600,0,573,1,Owns Property,Registered,101865,0,0
107239,39372,4,653,1,Owns Property,Registered,114463,0,0
60355,43044,2,553,2,Owns Property,Registered,66090,0,0
20089,67017,4,612,3,Owns Property,Registered,25155,0,0
54828,68004,4,632,2,Owns Property,Registered,60752,1,0
17379,57188,4,627,2,Owns Property,Not Registered,21984,1,0
94872,64335,0,598,1,Owns Property,Registered,99076,1,0
130028,63970,3,677,3,Rents Property,Registered,133597,1,0
43165,33581,2,726,1,Rents Property,Registered,46060,0,0
64473,52611,4,611,3,Rents Property,Registered,70394,0,0
86062,48045,3,589,1,Rents Property,Registered,90737,1,0
37915,54525,2,625,2,Rents Property,Registered,39658,0,0
67572,20725,2,743,1,Owns Property,Registered,71780,1,0
76265,52527,4,680,3,Rents Property,Registered,81847,0,0
21057,60825,2,655,2,Rents Property,Registered,24671,1,0
4266,40314,3,652,2,Rents Property,Registered,9845,1,0
59395,53962,1,703,1,Owns Property,Registered,59923,0,0
68456,69900,4,629,3,Owns Property,Registered,76573,0,0
50264,27882,4,651,1,Rents Property,Registered,55806,1,0
39356,44988,2,688,1,Rents Property,Registered,40508,0,0
21243,49773,1,692,3,Owns Property,Registered,19390,0,0
88532,25738,3,695,2,Rents Property,Registered,94017,0,0
84005,56326,0,678,3,Rents Property,Not Registered,87123,1,0
21433,37204,1,627,1,Owns Property,Registered,27039,1,0
63318,23904,2,627,3,Rents Property,Registered,69999,0,0
70830,51134,3,587,1,Owns Property,Registered,74276,1,0
61538,90378,2,635,2,Rents Property,Not Registered,68008,0,0
18833,34227,4,702,1,Owns Property,Registered,25632,1,0
40244,60947,2,715,3,Rents Property,Registered,46139,1,0
34642,44550,4,640,3,Owns Property,Not Registered,42292,1,0
15013,69880,0,600,2,Owns Property,Registered,18178,1,0
34529,49762,2,626,1,Owns Property,Registered,36805,1,0
14984,25576,3,603,1,Rents Property,Not Registered,16696,1,0
171412,75004,2,585,1,Owns Property,Not Registered,176537,1,0
30009,52757,4,563,3,Owns Property,Registered,35892,0,0
40438,40861,3,615,1,Owns Property,Not Registered,46701,1,0
110729,64875,0,578,1,Rents Property,Registered,115618,0,0
52377,54218,3,585,1,Owns Property,Registered,58005,0,0
54547,52495,2,654,2,Owns Property,Not Registered,60204,1,1
54473,20348,3,645,1,Rents Property,Not Registered,60345,1,0
37264,29096,4,719,2,Owns Property,Registered,43290,1,0
32145,54831,1,719,1,Owns Property,Registered,38954,1,0
38062,42123,1,690,3,Owns Property,Registered,40578,1,0
63106,68510,0,695,2,Owns Property,Registered,66641,0,0
9680,27298,0,649,2,Rents Property,Registered,15655,0,0
26287,42332,3,677,1,Rents Property,Registered,27975,0,0
13457,50595,0,661,2,Owns Property,Registered,18182,1,0
24726,51118,2,679,3,Rents Property,Registered,31773,0,0
69324,63054,3,611,2,Rents Property,Registered,77358,0,0
120926,67119,4,656,1,Rents Property,Registered,127208,1,0
90809,48406,4,681,3,Rents Property,Not Registered,96598,1,0
97031,43576,4,602,3,Rents Property,Not Registered,103918,0,0
42490,40872,3,659,2,Rents Property,Registered,48324,0,0
104793,66652,2,723,3,Rents Property,Registered,111088,0,0
16924,61970,3,684,1,Owns Property,Registered,25693,1,0
20470,35200,2,640,2,Owns Property,Not Registered,25575,1,0
48083,48598,3,693,1,Rents Property,Not Registered,52612,0,0
84625,50452,4,682,3,Owns Property,Registered,92271,1,0
26775,49544,2,642,3,Rents Property,Registered,31525,1,0
85565,63674,3,567,3,Owns Property,Registered,91529,0,0
150071,45268,0,669,2,Owns Property,Registered,156630,1,0
27055,65475,1,663,3,Owns Property,Registered,29794,1,0
78046,36385,2,639,2,Owns Property,Not Registered,82990,0,0
27751,45510,4,549,3,Owns Property,Registered,31716,0,0
83694,44076,3,687,3,Owns Property,Registered,87928,1,0
44993,47083,3,608,1,Rents Property,Registered,51681,0,0
77046,65167,2,674,1,Rents Property,Registered,79744,1,0
33648,64840,1,697,2,Owns Property,Not Registered,38107,0,0
81659,67050,1,626,3,Owns Property,Registered,87193,1,0
146116,34278,4,624,2,Owns Property,Registered,150940,0,0
140861,37789,2,714,3,Rents Property,Registered,146580,0,0
19508,33487,4,511,2,Owns Property,Registered,25638,0,0
9341,59225,2,615,1,Rents Property,Registered,15641,1,0
65024,61843,1,565,2,Owns Property,Registered,72222,0,1
106146,44378,4,553,2,Owns Property,Registered,115839,1,0
149467,53977,2,703,3,Owns Property,Not Registered,156295,0,0
43105,43953,4,713,2,Owns Property,Registered,48010,1,0
35253,38711,0,615,1,Rents Property,Registered,41167,1,0
19367,50772,4,688,2,Owns Property,Not Registered,23719,0,0
97071,35622,2,608,2,Owns Property,Registered,104281,1,0
27642,18230,0,605,2,Rents Property,Registered,33217,1,0
11399,56454,1,685,2,Owns Property,Not Registered,19606,0,0
108558,36897,0,615,3,Owns Property,Registered,112890,0,0
46684,47209,1,669,2,Owns Property,Not Registered,51140,0,0
24052,32680,3,591,2,Owns Property,Registered,28641,0,0
20985,63175,4,630,3,Owns Property,Registered,24966,1,0
27080,60579,3,644,1,Rents Property,Not Registered,33199,0,0
45329,60822,4,585,1,Owns Property,Registered,50839,1,0
49855,29454,1,654,3,Owns Property,Registered,55539,1,0
60509,80704,1,686,3,Rents Property,Registered,61549,1,0
24158,54034,1,678,2,Rents Property,Registered,27196,0,0
50536,56337,4,633,1,Rents Property,Registered,55379,0,0
18276,27999,0,626,2,Owns Property,Registered,23515,0,0
36109,51682,2,643,1,Rents Property,Registered,44326,0,0
38364,49792,2,614,2,Rents Property,Registered,41460,0,0
40413,28289,0,677,2,Owns Property,Registered,43160,1,0
32259,40085,1,686,2,Rents Property,Registered,35140,0,0
20276,73366,3,687,3,Rents Property,Registered,25485,0,0
122802,39336,3,767,2,Owns Property,Registered,129242,1,0
32837,47598,0,720,1,Rents Property,Registered,36721,0,0
13400,41168,0,630,3,Rents Property,Not Registered,18716,1,0
38014,57499,4,641,2,Rents Property,Registered,40646,1,0
107903,63011,4,641,3,Rents Property,Registered,110361,1,0
19079,62832,3,633,2,Owns Property,Registered,23177,0,0
22083,51000,1,669,2,Owns Property,Registered,28793,1,0
74676,66997,1,644,2,Owns Property,Registered,78277,0,0
127797,37373,3,725,3,Rents Property,Not Registered,132436,0,0
66738,46949,3,690,3,Owns Property,Not Registered,69876,1,0
17227,45604,4,622,3,Rents Property,Registered,20082,1,0
23993,67746,3,630,2,Rents Property,Registered,29893,1,0
44088,19799,4,653,2,Owns Property,Registered,47938,1,0
39322,27612,3,642,1,Rents Property,Registered,41523,0,0
52207,27110,1,717,2,Owns Property,Registered,54308,0,0
156279,48159,0,641,3,Rents Property,Registered,163282,1,0
107352,45451,0,705,2,Rents Property,Registered,109014,1,0
22842,23933,1,703,2,Owns Property,Registered,30090,0,0
123701,61274,1,735,1,Owns Property,Registered,129986,1,0
31217,62494,1,657,3,Rents Property,Registered,35341,1,0
53204,52008,0,581,2,Owns Property,Registered,59648,0,0
157684,29853,4,700,1,Owns Property,Registered,162280,1,0
112440,89518,2,655,2,Owns Property,Registered,118266,1,0
24877,62447,4,669,1,Owns Property,Not Registered,26128,1,0
21704,67072,1,687,1,Owns Property,Registered,26995,1,0
24085,35496,0,635,2,Rents Property,Not Registered,28363,1,0
33235,35891,1,697,2,Rents Property,Registered,37241,0,0
113698,31892,2,644,1,Rents Property,Registered,120482,0,0
23834,43468,0,582,2,Owns Property,Registered,33051,0,0
39688,44067,2,692,2,Owns Property,Registered,47286,0,0
31730,46114,3,660,1,Rents Property,Registered,39057,1,0
19636,63977,4,663,3,Rents Property,Registered,22978,0,0
85539,62049,0,599,1,Owns Property,Registered,91873,0,0
90441,61908,4,603,2,Rents Property,Not Registered,94676,1,0
28237,68655,1,658,1,Owns Property,Not Registered,32291,1,0
23901,54055,3,708,2,Owns Property,Registered,33206,1,0
16401,79176,2,585,3,Owns Property,Registered,17399,1,0
61227,51659,0,588,3,Owns Property,Registered,67190,1,0
32626,56869,3,692,2,Owns Property,Registered,38454,0,0
57213,36221,0,680,1,Rents Property,Registered,63887,1,0
38000,38139,0,570,1,Owns Property,Registered,44626,0,0
32239,54538,3,702,1,Rents Property,Registered,38263,1,0
107488,48985,3,549,1,Rents Property,Registered,113316,1,0
18047,72315,4,606,2,Owns Property,Registered,21504,0,0
104780,34798,4,680,3,Owns Property,Registered,109906,0,0
46807,30929,1,658,1,Rents Property,Not Registered,53494,0,0
104490,54477,3,684,2,Owns Property,Registered,108148,1,0
12597,42110,2,661,3,Rents Property,Registered,18350,1,0
39589,49408,2,652,3,Rents Property,Not Registered,46300,1,0
16275,56020,1,657,2,Rents Property,Registered,20628,0,0
140895,55803,2,677,1,Owns Property,Registered,149022,0,0
96020,42326,1,649,1,Owns Property,Registered,102168,0,0
32584,42667,4,709,2,Owns Property,Registered,34427,1,0
18139,64921,2,668,1,Rents Property,Registered,23330,1,0
105854,50595,0,624,3,Owns Property,Not Registered,109296,0,0
105329,57647,2,611,1,Owns Property,Not Registered,108287,1,0
66664,48876,2,638,3,Owns Property,Registered,69753,0,0
104654,46614,1,674,3,Owns Property,Registered,113477,1,0
122342,39484,4,719,1,Rents Property,Registered,125749,1,0
48811,59284,2,601,1,Owns Property,Registered,53518,0,0
26871,54517,4,691,3,Owns Property,Registered,32526,1,0
18686,35385,2,642,1,Rents Property,Registered,22280,1,0
99147,62969,1,670,2,Owns Property,Registered,102499,1,0
66566,27044,4,582,1,Rents Property,Registered,70321,1,0
67041,66099,1,645,3,Owns Property,Not Registered,70878,1,0
29440,39046,4,519,1,Owns Property,Not Registered,35502,0,0
29941,53649,1,648,2,Owns Property,Not Registered,33234,1,0
27574,49412,2,742,2,Owns Property,Not Registered,35645,0,0
56789,34833,3,629,2,Owns Property,Registered,61361,0,0
10875,44626,1,666,2,Owns Property,Registered,19119,0,0
24344,70543,2,684,2,Owns Property,Not Registered,29219,0,0
42660,62141,4,631,1,Owns Property,Registered,44688,1,0
44563,68661,1,550,2,Rents Property,Not Registered,48298,1,0
85847,38202,0,621,3,Owns Property,Not Registered,91916,0,0
28199,39404,3,578,1,Rents Property,Registered,31114,1,0
17360,45830,2,585,1,Owns Property,Registered,22281,0,0
22192,49285,0,689,2,Rents Property,Registered,27892,1,0
17314,37277,1,614,2,Rents Property,Registered,23066,0,0
19132,50349,3,650,1,Rents Property,Not Registered,25275,1,0
9464,55284,2,618,2,Owns Property,Not Registered,14936,0,0
95441,66817,2,618,3,Owns Property,Registered,98432,0,0
120969,51491,1,651,1,Rents Property,Not Registered,125423,0,0
117228,55910,4,650,3,Rents Property,Not Registered,122252,1,0
121507,38082,4,639,3,Rents Property,Registered,127397,1,0
35855,26134,0,625,2,Owns Property,Registered,39389,0,0
45570,67288,3,674,3,Rents Property,Not Registered,50487,0,0
17934,51537,2,646,1,Owns Property,Registered,26764,0,0
24761,64261,1,637,2,Owns Property,Registered,31623,0,0
84058,44145,3,568,1,Rents Property,Registered,90822,1,0
108388,32689,0,582,3,Owns Property,Registered,113272,1,0
122464,28985,2,570,3,Owns Property,Registered,127842,1,0
85336,36950,0,621,2,Owns Property,Registered,90369,0,0
19716,35715,4,547,3,Rents Property,Registered,25679,1,0
50631,57663,1,625,2,Owns Property,Registered,53162,1,0
64502,48398,4,635,3,Owns Property,Registered,67908,1,0
136529,64294,0,608,3,Owns Property,Registered,138719,0,0
115263,45875,3,645,1,Owns Property,Registered,121757,0,0
42600,70576,4,716,3,Rents Property,Registered,49055,1,0
24640,59483,4,633,3,Owns Property,Registered,28343,0,0
22443,49208,3,709,3,Owns Property,Registered,26035,1,0
30635,39966,0,675,2,Owns Property,Registered,37102,1,1
109082,72997,0,618,2,Owns Property,Registered,115502,1,0
15422,43715,2,680,3,Owns Property,Registered,23671,0,0
36318,59986,3,699,2,Owns Property,Registered,39672,1,0
26479,62369,0,725,2,Owns Property,Not Registered,31251,0,0
159965,69566,3,620,3,Owns Property,Registered,165215,0,0
22504,36468,1,713,1,Owns Property,Not Registered,28636,0,0
74738,86616,2,672,1,Owns Property,Registered,81673,1,0
24647,77447,3,700,3,Owns Property,Registered,29409,0,0
15353,58206,4,659,2,Rents Property,Registered,20793,1,0
48548,29183,1,711,1,Rents Property,Registered,52920,0,0
68566,62426,0,605,3,Owns Property,Registered,70685,0,1
128090,62774,2,694,3,Rents Property,Registered,131398,1,0
43336,30443,0,537,1,Rents Property,Registered,47399,0,0
22457,47594,3,696,2,Rents Property,Registered,28577,1,0
106676,67758,4,643,3,Owns Property,Registered,107466,0,0
108107,17363,3,644,1,Rents Property,Registered,114260,1,0
23658,55598,3,693,2,Owns Property,Registered,29823,1,0
48019,54387,2,743,3,Owns Property,Not Registered,52105,0,0
83526,33330,4,542,3,Owns Property,Registered,92334,1,0
61354,58455,4,627,3,Owns Property,Registered,66862,1,0
69768,50664,1,733,2,Rents Property,Registered,75249,1,0
83688,49835,0,643,2,Rents Property,Not Registered,88364,1,0
18337,55657,1,618,3,Rents Property,Registered,19681,0,0
83677,48436,4,632,1,Rents Property,Not Registered,87376,1,0
15376,47330,3,691,1,Rents Property,Registered,18793,0,0
63802,44003,1,746,3,Rents Property,Registered,70122,1,0
58109,52840,0,673,1,Rents Property,Registered,62055,0,0
36813,38745,3,645,1,Rents Property,Not Registered,42415,1,0
110727,81277,4,654,2,Owns Property,Registered,112485,1,0
96204,35797,4,576,3,Owns Property,Not Registered,103932,0,0
75111,58023,2,724,2,Rents Property,Registered,81542,1,0
34088,34637,4,637,1,Rents Property,Not Registered,39039,0,0
16299,100055,0,622,1,Rents Property,Registered,20333,1,0
73560,39049,0,604,3,Owns Property,Registered,80226,1,0
139275,77686,1,716,1,Owns Property,Registered,143240,0,0
